,Epoch,lr,train_loss,valid_loss,train_acc,valid_acc,test_loss,score
0,1.0,0.0003,2.9895570557564497,1.0136362854391336,0.3795798729848559,0.77392578125,0.0994637895055348,0.9741084513922814
1,2.0,0.0009,0.7165332115255296,0.4242746299132705,0.811675622862726,0.87744140625,0.0994637895055348,0.9741084513922814
2,3.0,0.0009,0.4226077008061111,0.3204958736896515,0.8829995114802149,0.916015625,0.0994637895055348,0.9741084513922814
3,4.0,0.0008756177587652855,0.3345109212677926,0.325269732857123,0.9059599413776258,0.9111328125,0.0994637895055348,0.9741084513922814
4,5.0,0.00084576318804292,0.2323173654731363,0.2097010399447754,0.93209574987787,0.93701171875,0.0994637895055348,0.9741084513922814
5,6.0,0.0008051132292283772,0.21278947102837265,0.23807734181173146,0.9435759648265755,0.93896484375,0.0994637895055348,0.9741084513922814
6,7.0,0.0007547767072315835,0.18947198419482447,0.19990750186843798,0.9477283829995115,0.93798828125,0.0994637895055348,0.9741084513922814
7,8.0,0.000696126671155092,0.20154310000361875,0.1944728881935589,0.9491939423546654,0.9501953125,0.0994637895055348,0.9741084513922814
8,9.0,0.0006307629410938363,0.13651536122779362,0.1485443931305781,0.9628724963361016,0.96044921875,0.0994637895055348,0.9741084513922814
9,10.0,0.0005604684692133596,0.14744785311631858,0.16148243797942996,0.9589643380556913,0.95458984375,0.0994637895055348,0.9741084513922814
10,11.0,0.0004871607054625496,0.12329749664058909,0.13612025085603818,0.9672691744015632,0.9638671875,0.0994637895055348,0.9741084513922814
11,12.0,0.0004128392945374505,0.09065024043957237,0.11657229892443866,0.9748412310698583,0.9677734375,0.0994637895055348,0.9741084513922814
12,13.0,0.0003395315307866405,0.102613417286193,0.10296159905556124,0.9745969711773327,0.97509765625,0.0994637895055348,0.9741084513922814
13,14.0,0.00026923705890616377,0.09570631754468195,0.12223701328912284,0.9755740107474352,0.9716796875,0.0994637895055348,0.9741084513922814
14,15.0,0.00020387332884490782,0.07573523122118786,0.12062250038434286,0.9821690278456278,0.97119140625,0.0994637895055348,0.9741084513922814
15,16.0,0.0001452232927684166,0.06169268352095969,0.12086439225822687,0.9846116267708842,0.96826171875,0.0994637895055348,0.9741084513922814
16,17.0,9.488677077162294e-05,0.06765700932010077,0.1101823243079707,0.9824132877381534,0.97119140625,0.0994637895055348,0.9741084513922814
17,18.0,5.423681195707997e-05,0.06688368579489179,0.11195005594345275,0.9816805080605765,0.97021484375,0.0994637895055348,0.9741084513922814
18,19.0,2.4382241234714362e-05,0.06731541160843335,0.10763933126872871,0.9816805080605765,0.97216796875,0.0994637895055348,0.9741084513922814
19,20.0,6.137413468774955e-06,0.06792671445873566,0.11254380801983643,0.9809477283829995,0.96923828125,0.0994637895055348,0.9741084513922814
